Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power
0,300.4347468425533,311.0186498269509,1366,60.21016877163114,208,82276.19270821003
0,297.5,308.8,1309,57.3,0,75005.7
0,302.3,310.2,1394,55.4,57,77227.59999999999
0,302.0404960648453,310.25141838714126,1372,52.57773058057399,165,72185.62474974366
1,302.9,312.4,1421,46.0,206,65366.0
1,300.3,311.8,1607,33.7,199,54155.9
0,302.11449301419515,310.634571315753,1370,54.50259688978662,158,74644.27372579317
0,300.4,311.2,1705,28.7,20,48933.5
1,297.6,308.6,1482,38.3,39,56760.6
0,298.0440068510248,308.41094989248285,1385,51.43243511526138,208,71171.20714682185
1,299.9,309.5,1582,38.2,160,60432.4
0,302.6637175124124,310.8318587562062,1366,43.96780494904665,122,60069.697594037105
0,302.97235449265276,311.6378052508478,1336,56.83780525084776,187,75977.75442156073
2,302.4,310.9,1444,40.7,174,58770.8
0,300.6131897346513,311.8940646194069,1371,60.099340513267435,211,82455.1081080843
1,302.9416564163919,311.2416564163919,1332,53.65834358360811,185,71477.23616212906
0,302.4,310.2,1343,45.25534540898833,123,60786.560842094776
2,299.4,308.9,1762,29.3,91,51626.6
1,301.1,311.2,1591,35.0,208,55685.0
0,301.0,311.7,1547,34.5,152,53371.5
0,300.2,309.7,1448,36.8,14,53286.399999999994
0,298.8562468822576,308.34999643686587,1677,27.43751692488715,216,45362.9445220466
0,300.8744684995154,310.82919619447136,1268,63.359101056255504,190,80350.43340474983
0,302.7747147756032,311.2190113658486,1339,44.5809886341514,199,59710.685174800456
2,301.4,309.9,1460,47.2,22,68912.0
0,303.41071729710575,311.720302019834,1422,44.75018876239624,111,63678.28374439891
1,303.4,311.6,1446,50.0,163,72300.0
0,299.1,308.9,1686,29.6,108,49905.600000000006
0,302.9,312.5,1550,45.5,72,70525.0
0,298.37745815573504,309.37458155735067,1687,27.717024118901282,168,46700.8080569693
0,297.83526521761974,308.9059594196808,1404,64.16473478238031,2,90150.8182526805
0,300.0,309.5,1728,26.0,37,44928.0
1,300.8,311.4,1521,39.9,15,60687.9
0,299.56518074135806,309.1588353926614,1434,63.322128561248476,134,90785.98014192571
1,299.2,310.3,1551,44.8,18,69484.79999999999
0,300.5,310.6,1368,49.6,10,67852.8
0,302.3836215384343,310.3734486153737,1441,41.005459487188574,212,59086.21305035422
0,304.0,313.3,1530,34.8,211,53243.99999999999
0,297.4496846826964,307.4212033447831,1363,55.88826254795268,208,76201.14126134946
0,297.5,308.6,1585,37.6,2,59596.0
0,301.31123775011883,310.7656758626129,1461,36.647339866603275,201,53471.97973054972
0,303.1385737746024,312.11809836613645,1354,60.30945433000807,155,81667.02626055271
0,300.4294293257819,311.7637792913454,1272,59.159251702763555,194,75301.24546491164
0,303.4,311.5,1414,44.8,71,63347.2
0,298.99296528719304,309.372426978008,1352,60.72162410090547,206,82134.24976295212
0,301.5,310.5,1389,54.9,187,76256.09999999999
2,301.4,310.5,1536,39.9,201,61286.399999999994
0,299.9263286210093,309.27980371542475,1330,53.49337695212783,194,71163.60229621289
0,301.2,311.4,1757,28.0,6,49196.0
0,302.58505830907023,311.163483965027,1323,51.33607871737299,128,67638.08243440006
2,297.2,308.3,1453,45.8,105,66547.4
0,302.16626086326374,310.13373913673627,1368,51.61124637891209,27,70615.81380214683
0,298.8,309.8,1563,33.7,143,52673.100000000006
0,298.35708666132,309.354212659716,1246,62.745197284144034,203,77835.16976278002
1,298.4,308.2,1468,43.8,2,64298.399999999994
0,299.3,309.1,1496,37.2,149,55651.200000000004
0,298.7,309.8,1402,54.3,128,76128.59999999999
0,301.85801135134807,310.329005675674,1303,51.97928945937567,68,67623.82408297845
0,299.4,309.1,1464,40.5,215,59292.0
2,295.5,305.9,1593,37.2,197,59259.600000000006
2,301.6,310.5,1786,27.1,35,48400.600000000006
0,301.08454828060866,310.69776919442904,1353,60.37225247293763,196,81691.48149787702
0,300.344961790622,309.83610931128874,1384,59.12708198346657,167,81843.20787437864
0,303.7,312.5,1397,45.7,187,63842.9
0,298.56982265205005,308.26375111708916,1302,66.22714158046949,43,86257.66154171497
0,298.7,308.6,1297,55.3,148,71724.09999999999
0,300.3665357843014,310.68679333035533,1371,55.9070508764093,203,76667.29077927636
1,304.1,313.2,1510,46.9,152,70819.0
0,300.5,310.8,1509,33.0,153,49797.0
0,303.46559798258914,311.66880403482173,1354,46.67201008705431,112,63197.22676481881
1,297.3,308.4,1665,28.9,17,48118.5
0,302.6720172958269,311.50567603523956,1412,40.44736071839257,86,57026.040109750844
2,300.8,310.3,1457,46.8,182,68187.59999999999
1,297.83079229130396,308.2668254817935,1430,60.92698072825995,148,87056.85244112929
1,299.5,309.0,1602,31.3,210,50142.6
0,299.6,310.2,1381,60.5,13,83550.5
0,300.3,311.7,1452,41.5,172,60258.0
2,303.3,312.6,1827,24.2,132,44213.4
0,300.3,311.8,1548,33.0,16,51084.0
0,299.2,310.5,1391,45.8,38,63707.799999999996
1,300.7,309.7,1523,38.2,73,58178.600000000006
0,297.2,308.4,1677,26.4,146,44272.799999999996
0,301.1622553719746,310.51589669426755,1400,46.515230991719726,208,65156.58567521147
0,298.4,308.1,1375,50.8,94,69850.0
1,303.8,312.5,1366,45.1,143,61606.6
0,298.56918438468006,308.290377657702,1568,36.73264360391402,208,57586.023293790364
0,299.2,308.8,1405,51.4,183,72217.0
0,299.8943354941762,309.1813873949477,1278,62.97606950778993,81,80480.58970624293
0,302.4069056334208,310.3930943665792,1335,58.098978113197404,65,77550.65530034988
0,300.1,309.3,1654,31.0,201,51274.0
0,301.23386564564936,310.5670468897495,1401,46.49988593307514,207,65161.30172323491
0,298.5,308.8,1332,59.1,115,78721.2
2,297.2,308.1,1770,27.2,140,48144.0
0,303.7,313.1,1355,49.1,188,66530.5
0,301.05842522653137,310.6076592968467,1333,55.50980389996375,215,73787.21556413193
0,300.1,309.3,1841,23.0,125,42343.0
0,298.3,309.4,1468,46.2,10,67821.6
0,302.3,311.8,1433,50.3,183,72079.9
1,303.40354155541365,311.60354155541364,1333,52.650590259235614,118,70234.54431987011
0,300.5,311.2494575235232,1311,60.574063457173324,199,79394.0698463013
0,301.0458651587456,310.98749132034214,1394,58.183460634982254,186,81125.47186461206
0,299.50769180279906,309.5097898655448,1298,61.99790193725425,190,80483.23287840116
1,301.8,311.1,1597,29.8,177,47590.6
0,302.73177529537077,311.23177529537077,1320,61.71588764768539,43,81504.14577593937
0,302.6,311.5,1427,38.9,213,55510.299999999996
1,299.8,309.3,1640,31.1,211,51004.0
0,301.8595361497166,310.6662844876047,1370,43.685382964083274,80,59830.78621537673
0,300.2,311.6,1375,56.9,155,78237.5
0,302.0,310.3611210814802,1329,55.15753768889392,180,73256.15904524465
0,297.4,308.5,1418,51.2,52,72601.6
0,302.1,311.3,1634,30.6,50,50000.4
0,301.82586458512407,310.9056015611569,1420,44.92932292562038,208,63796.180663491694
0,298.6,309.5,1483,43.2,92,64065.600000000006
0,301.9351315060454,310.07116657432414,1332,61.090087670696924,169,81388.05367662873
0,301.8103295812697,311.70774718595226,1346,59.538022512382064,215,79639.32164385413
0,300.20387247010984,311.480970058086,1454,59.49741835326012,97,86500.32730134662
1,302.6,311.0,1591,33.9,119,53934.899999999994
0,300.29500059536025,309.349500059536,1320,63.76349839252729,162,84156.9700093636
0,298.0,307.8,1839,22.7,79,41745.299999999996
0,299.0,310.2,1412,44.1,246,62269.200000000004
1,300.7,310.21570353668307,1363,65.3,204,89057.48067490965
1,302.92277777621126,311.36587654265287,1378,47.12396296223192,58,64951.27433336811
0,302.7,310.6,1690,26.7,4,45123.0
0,298.3341903670107,308.4518994648339,1373,50.49620107033214,220,69364.71523777141
0,301.1,311.2,1774,29.6,186,52510.4
0,301.8,311.0,1322,53.0,166,70066.0
0,297.5,309.4,1803,24.7,98,44534.1
0,301.9,310.7,1717,26.8,27,46015.6
0,302.7165685958024,310.7465097532838,1352,54.97005884251856,152,74355.26018256847
0,299.3787113999092,309.5714558829091,1352,61.22147978045457,166,82793.13794107636
1,300.8247515771443,310.2779697357152,1359,65.3467818414291,175,88846.58081058599
0,297.4,308.5,1295,52.1,130,67469.5
0,303.29890919529777,311.2996363984326,1350,48.098181992162914,32,64934.44950722693
0,299.6473706839165,308.9978965471332,1442,37.62620948539839,202,54219.10538992881
0,297.4,308.4,1369,50.6,220,69271.40000000001
0,300.1,311.3,1305,64.7,66,84433.5
1,300.42377883438076,310.23308283782166,1409,46.15761315873736,27,65036.42979072666
1,296.7,307.5,1515,42.1,55,63781.5
0,301.92352580996663,310.7117935202666,1518,40.50565183786716,204,61272.12857861459
0,297.9980415888358,309.13541918813803,1390,61.87377599302237,72,86047.47062383253
0,300.14265607846625,310.3347053669448,1353,49.589709747914114,200,67095.25028803587
0,303.0319084975896,311.06898599586793,1401,42.417295988981124,201,59390.75811268912
0,295.6,306.0,1569,40.4,174,63387.6
0,299.8351468045101,309.9087411236392,1414,64.01204183374806,134,90512.35453880652
0,298.9205411490022,309.4410320793187,1348,55.56407809858905,206,74931.26326853561
