Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power
2,302.94512034715666,311.24512034715667,1332,53.65487965284335,183,71481.91246866148
2,297.5,308.9,1535,37.7,12,57869.50000000001
1,302.7,310.5,1520,39.3,73,59735.99999999999
1,302.81453633312594,312.2459314887092,1326,55.61221384379457,151,73644.94663260492
0,302.8,312.3,1483,47.2,223,69997.6
1,300.2,311.4,1568,41.0,32,64288.0
1,300.0853690790111,310.33797890977075,1353,49.56515817671905,201,67091.55282141389
1,300.5,311.4,1442,47.0,53,67774.0
1,297.4,308.5,1477,40.7,74,60113.9
1,299.00490978444344,309.10754985941963,1371,57.01018993439583,198,78203.34924039367
2,299.8,309.4,1751,27.0,173,47277.0
1,303.2796322733509,312.43498556363426,1362,56.67206199623723,196,77214.77714640771
1,299.6432030214263,310.2989543109887,1360,63.31637306565645,87,86079.74278868978
1,302.5,311.0,1548,38.4,188,59443.2
1,297.20552933155244,308.10312527435576,1340,61.2939898570082,206,82141.01433654934
1,303.2428053303488,311.7428053303488,1315,61.9714026651744,42,81527.39764253086
1,302.52177838490525,310.44274841303536,1330,52.33708991560962,147,69599.09886090706
2,299.2,308.8,1503,37.4,109,56212.2
2,301.0,311.2,1394,41.3,16,57572.2
1,300.8,311.1,1480,41.1,176,60828.0
2,300.3,309.9,1494,38.5,33,57519.0
2,302.52091317402284,311.060664126562,1358,44.020083015820255,92,59805.31663167842
1,301.1322311857056,310.76994340751696,1331,59.379773630067874,189,79063.73258285149
1,299.9624411099327,310.6632334018203,1292,61.501584583775234,206,79518.8823345374
1,301.4,310.1,1502,46.6,37,69993.2
1,302.68178710118315,310.529140638107,1357,41.636083910648246,17,56493.55348634686
1,303.4,311.7,1476,42.3,180,62434.799999999996
2,299.2,309.0,1597,30.3,115,48389.1
1,303.0,312.5,1626,30.5,87,49593.0
1,298.5580482310048,308.35804823100483,1441,51.32515112731519,220,73915.23730854892
1,300.3277039307961,309.4,1345,62.091980824432206,128,83552.53867989297
1,300.0,309.5,1869,22.7,49,42426.299999999996
2,300.8,311.4,1732,26.9,45,46590.799999999996
1,301.9397381386331,309.9397381386331,1374,48.44039279205028,177,66604.98415333002
1,299.0,310.1,1580,41.9,55,66202.0
1,300.8,310.8,1741,27.1,39,47181.100000000006
1,299.6526308164273,309.51754360547574,1728,28.00155846573904,162,48237.72929470482
2,303.7,312.9,1566,32.6,9,51051.600000000006
1,302.6041183170512,311.58277263067777,1367,56.2,181,76840.13457475272
1,297.5,308.5,1306,50.7,38,66214.2
1,302.13356194310694,310.23356194310696,1364,45.500171457330204,163,62093.58732542605
1,300.06792261255504,310.2012110906781,1260,63.26819174381683,180,79702.12689783137
1,302.18025973872216,310.92875695623013,1380,50.37725417373807,227,69560.32912805383
1,303.6,311.7,1491,39.8,92,59341.799999999996
1,302.71602220873433,310.9483676743153,1387,43.38679087046642,129,60029.1402961436
1,301.4,310.4,1559,39.4,199,61424.6
1,301.5,310.7,1435,38.5,224,55247.5
1,300.59667431673233,310.6986697266929,1437,48.50066513665353,78,69743.63187982085
1,301.1,311.3,1622,35.6,34,57743.200000000004
1,302.3681578013345,310.19203945033365,1351,45.12388164899909,168,60998.50500328304
1,297.3,308.1,1506,36.0,150,54216.0
0,303.18099995543315,311.79040007130703,1354,56.08599973259872,201,75934.5075973438
1,298.8,310.1,1574,36.2,181,56978.8
1,299.48679126132777,308.58679126132773,1541,37.48711784404636,203,57776.30545049525
2,298.5,308.3,1440,43.6,5,62784.0
1,299.6,309.2,1450,43.1,160,62495.0
2,298.7,309.8,1343,53.6,134,71984.8
1,303.61615600890593,312.5709908647765,1357,62.73761770877252,201,85130.59969789162
1,299.6,309.2,1540,36.7,221,56518.00000000001
1,295.5,306.0,1800,27.6,208,49680.0
1,301.8,310.7,1461,44.2,49,64576.200000000004
1,302.37386115813035,311.46618760579327,1419,53.241485946543776,177,75543.94004876392
0,301.60745746605886,310.4758887109864,1388,46.855680044086,19,65031.78612840238
1,303.8,312.9,1589,37.2,203,59110.8
1,297.75640333237,308.87423126906145,1288,61.95445698417286,206,79802.91279900481
0,298.8,308.6,1449,49.4,150,71580.59999999999
1,302.3001321648393,310.8000925153875,1376,47.3,22,65132.0749944124
1,303.9,313.0,1433,48.4,178,69357.2
1,300.5,310.6,1448,46.3,173,67042.4
1,299.1137761272278,310.5814421749383,1734,27.032333952289566,218,46875.71955435151
2,297.6,308.6,1595,36.9,25,58855.5
1,300.5776396590551,310.12799316223186,1369,48.77359179467826,200,66813.41476910739
1,301.0,310.5,1408,47.0,202,66176.0
1,298.5622450967229,308.6207483655743,1337,53.318318860188185,208,71303.69356039372
1,299.5,309.1,1336,42.1,217,56245.6
1,299.6,310.2,1333,51.2,40,68249.6
2,300.4,311.8,1553,33.1,209,51404.3
1,303.2,312.6,1601,35.3,148,56515.299999999996
0,299.9,311.2,1364,49.6,50,67654.40000000001
2,299.1,310.4,1524,51.4,66,78333.59999999999
1,300.7,309.6,1733,24.8,85,42978.4
0,297.5,308.8,1824,24.0,179,43776.0
1,298.1106553630794,309.25507132327186,1389,61.94415960192463,74,86049.1598304462
1,298.1,307.8,1606,33.0,130,52998.0
2,304.0,312.7,1456,51.2,160,74547.2
1,300.02675959621155,310.0041168609556,1241,62.94030551614346,156,77796.22786707505
1,299.2,308.7,1514,41.9,196,63436.6
